tconst	startYear	primaryTitle	averageRating	numVotes
tt0375679	2004	Crash	7.7	456345
tt0105695	1992	Unforgiven	8.2	456187
tt3480822	2021	Black Widow	6.6	456033
tt0083866	1982	E.T. the Extra-Terrestrial	7.9	455199
tt0831387	2014	Godzilla	6.4	455125
tt1302006	2019	The Irishman	7.8	455067
tt0119174	1997	The Game	7.7	454623
tt0315327	2003	Bruce Almighty	6.8	454518
tt0163651	1999	American Pie	7.0	453420
tt0032138	1939	The Wizard of Oz	8.1	452340
tt8772262	2019	Midsommar	7.1	452114
tt0369339	2004	Collateral	7.5	451777
tt0086879	1984	Amadeus	8.4	450478
tt0110475	1994	The Mask	7.0	449314
tt0455944	2014	The Equalizer	7.3	447948
tt0052357	1958	Vertigo	8.2	446806
tt1245492	2013	This Is the End	6.6	446040
tt1690953	2013	Despicable Me 2	7.3	445660
tt1399103	2011	Transformers: Dark of the Moon	6.2	445421
tt0363771	2005	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	6.9	445308
tt1055369	2009	Transformers: Revenge of the Fallen	6.0	443045
tt0265086	2001	Black Hawk Down	7.7	441355
tt0099674	1990	The Godfather Part III	7.6	440842
tt0232500	2001	The Fast and the Furious	6.8	439712
tt1517451	2018	A Star Is Born	7.6	437187
tt10648342	2022	Thor: Love and Thunder	6.2	436719
tt8367814	2019	The Gentlemen	7.8	436267
tt1060277	2008	Cloverfield	7.0	434824
tt6334354	2021	The Suicide Squad	7.2	434745
tt6791350	2023	Guardians of the Galaxy Vol. 3	7.9	433839
tt0840361	2010	The Town	7.5	433267
tt1282140	2010	Easy A	7.0	432945
tt2381249	2015	Mission: Impossible - Rogue Nation	7.4	432288
tt0104431	1992	Home Alone 2: Lost in New York	6.9	430792
tt0361862	2004	The Machinist	7.6	430715
tt0109686	1994	Dumb and Dumber	7.3	430350
tt1905041	2013	Fast & Furious 6	7.0	429821
tt0337978	2007	Live Free or Die Hard	7.1	429654
tt0079470	1979	Monty Python's Life of Brian	8.0	429507
tt0405094	2006	The Lives of Others	8.4	429328
tt0181852	2003	Terminator 3: Rise of the Machines	6.3	429261
tt2820852	2015	Furious 7	7.1	428517
tt0349903	2004	Ocean's Twelve	6.5	428160
tt0118971	1997	The Devil's Advocate	7.5	425643
tt2294449	2014	22 Jump Street	7.0	424906
tt7784604	2018	Hereditary	7.3	423445
tt0147800	1999	10 Things I Hate About You	7.4	422053
tt1596343	2011	Fast Five	7.3	421885
tt0112864	1995	Die Hard with a Vengeance	7.6	421243
tt0096895	1989	Batman	7.5	420857
tt0493464	2008	Wanted	6.7	420755
tt0120912	2002	Men in Black II	6.2	420069
tt0117571	1996	Scream	7.4	419673
tt3521164	2016	Moana	7.6	418346
tt2582846	2014	The Fault in Our Stars	7.6	415853
tt0119094	1997	Face/Off	7.3	415780
tt1542344	2010	127 Hours	7.5	415235
tt1587310	2014	Maleficent	6.9	414980
tt2194499	2013	About Time	7.8	414802
tt0454848	2006	Inside Man	7.6	414649
tt0317919	2006	Mission: Impossible III	6.9	411883
tt0230600	2001	The Others	7.6	411720
tt2948372	2020	Soul	8.0	410635
tt1453405	2013	Monsters University	7.2	410520
tt9032400	2021	Eternals	6.2	410465
tt1632708	2011	Friends with Benefits	6.5	410397
tt0096283	1988	My Neighbor Totoro	8.1	410301
tt0111257	1994	Speed	7.3	410201
tt0166924	2001	Mulholland Drive	7.9	408758
tt1706620	2013	Snowpiercer	7.1	408348
tt2737304	2018	Bird Box	6.6	408115
tt0094721	1988	Beetlejuice	7.5	404820
tt0328107	2004	Man on Fire	7.7	404582
tt0091042	1986	Ferris Bueller's Day Off	7.8	403949
tt1490017	2014	The Lego Movie	7.7	403563
tt4912910	2018	Mission: Impossible - Fallout	7.7	403371
tt0388795	2005	Brokeback Mountain	7.7	402914
tt0286106	2002	Signs	6.8	402239
tt0120663	1999	Eyes Wide Shut	7.5	401850
tt0448115	2019	Shazam!	7.0	401764
tt1409024	2012	Men in Black³	6.8	401726
tt0162661	1999	Sleepy Hollow	7.3	400653
tt0343660	2004	50 First Dates	6.8	400273
tt0120755	2000	Mission: Impossible II	6.1	399993
tt0964517	2010	The Fighter	7.8	399887
tt0317740	2003	The Italian Job	7.0	399844
tt0408236	2007	Sweeney Todd: The Demon Barber of Fleet Street	7.3	398583
tt0443543	2006	The Illusionist	7.5	398066
tt0113497	1995	Jumanji	7.1	397887
tt0099423	1990	Die Hard 2	7.1	397488
tt0081398	1980	Raging Bull	8.1	397129
tt3778644	2018	Solo: A Star Wars Story	6.9	396930
tt3799694	2016	The Nice Guys	7.4	396865
tt0087843	1984	Once Upon a Time in America	8.3	396802
tt0107688	1993	The Nightmare Before Christmas	7.9	396330
tt0338751	2004	The Aviator	7.5	396266
tt1951266	2015	The Hunger Games: Mockingjay - Part 2	6.6	396096
tt1068680	2008	Yes Man	6.8	395919
tt0477347	2006	Night at the Museum	6.5	395052
tt0360486	2005	Constantine	7.0	394763
tt0478311	2007	Knocked Up	6.9	392891
tt0357413	2004	Anchorman: The Legend of Ron Burgundy	7.1	391455
tt0119396	1997	Jackie Brown	7.5	391132
tt0298130	2002	The Ring	7.1	390858
tt2106476	2012	The Hunt	8.3	390224
tt0363163	2004	Downfall	8.2	390128
tt0396269	2005	Wedding Crashers	7.0	388368
tt1907668	2012	Flight	7.3	388264
tt0100405	1990	Pretty Woman	7.1	388202
tt4649466	2017	Kingsman: The Golden Circle	6.7	387831
tt1182345	2009	Moon	7.8	387075
tt0047478	1954	Seven Samurai	8.6	386881
tt0438488	2009	Terminator Salvation	6.5	386569
tt1646971	2014	How to Train Your Dragon 2	7.8	384981
tt0395169	2004	Hotel Rwanda	8.1	384815
tt10366206	2023	John Wick: Chapter 4	7.6	383561
tt1041829	2009	The Proposal	6.8	382216
tt1371111	2012	Cloud Atlas	7.4	381787
tt2798920	2018	Annihilation	6.8	381387
tt0790724	2012	Jack Reacher	7.0	380883
tt0496806	2007	Ocean's Thirteen	6.9	378754
tt0077416	1978	The Deer Hunter	8.1	376905
tt1748122	2012	Moonrise Kingdom	7.8	375937
tt0878804	2009	The Blind Side	7.6	375923
